类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
Z050401,家常用品,,巨潮行业分类标准,008002,Household Products,Z0504,3
Z05040101,家常用品,,巨潮行业分类标准,008002,Household Products,Z050401,4
Z050402,个人用品,,巨潮行业分类标准,008002,Personal Products,Z0504,3
Z05040201,个人用品,,巨潮行业分类标准,008002,Personal Products,Z050402,4
Z06,医药卫生,,巨潮行业分类标准,008002,Health Care,Z,1
Z0601,医疗设备与服务,,巨潮行业分类标准,008002,Medical Equipment and Services,Z06,2
Z060101,医疗设备与用品,,巨潮行业分类标准,008002,Medical Equipment and Supplies,Z0601,3
Z06010101,医疗设备,,巨潮行业分类标准,008002,Medical Equipment,Z060101,4
Z06010102,医疗用品,,巨潮行业分类标准,008002,Medical Supplies,Z060101,4
Z060102,医疗保健提供商与服务,,巨潮行业分类标准,008002,Health Care Providers and Services,Z0601,3
Z06010201,医疗保健机构与服务,,巨潮行业分类标准,008002,Health Care Facilities and Services,Z060102,4
Z06010202,保健护理产品经销商,,巨潮行业分类标准,008002,Health Care Distributors,Z060102,4
Z0602,制药,,巨潮行业分类标准,008002,Pharmaceuticals,Z06,2
Z060201,化学原料药,,巨潮行业分类标准,008002,Pharmaceutical Raw Materials,Z0602,3
Z06020101,化学原料药,,巨潮行业分类标准,008002,Pharmaceutical Raw Materials,Z060201,4
Z060202,化学制剂,,巨潮行业分类标准,008002,Pharmaceutical Preparations,Z0602,3
Z06020201,化学制剂,,巨潮行业分类标准,008002,Pharmaceutical Preparations,Z060202,4
Z060203,中药,,巨潮行业分类标准,008002,Traditional Chinese Medicine,Z0602,3
Z06020301,中药,,巨潮行业分类标准,008002,Traditional Chinese Medicine,Z060203,4
Z060204,药品流通,,巨潮行业分类标准,008002,Drug Circulation,Z0602,3
Z06020401,药品流通,,巨潮行业分类标准,008002,Drug Circulation,Z060204,4
Z0603,生物科技,,巨潮行业分类标准,008002,Biotechnology,Z06,2
Z060301,生物科技,,巨潮行业分类标准,008002,Biotechnology,Z0603,3
Z06030101,生物制品,,巨潮行业分类标准,008002,Biological Products,Z060301,4
Z06030102,生命科学工具和服务,,巨潮行业分类标准,008002,Life Sciences Tools & Services,Z060301,4
Z07,金融,,巨潮行业分类标准,008002,Financial,Z,1
